Sport,Venue,Zone,Session Code,Date,Games Day,Session Type,Session Description,Start Time,End Time
Open Water Swimming,Belmont Shore,Long Beach,OWS02,7/18/2028,4,Final,Men's 10km,13:30,16:30
Rhythmic Gymnastics,Galen Center,Exposition Park,GRY01,7/27/2028,13,Preliminary,Individual All-Around Qualification - 1 of 2,12:30,15:45
Rhythmic Gymnastics,Galen Center,Exposition Park,GRY02,7/27/2028,13,Preliminary,Individual All-Around Qualification - 2 of 2,17:30,20:45
Rhythmic Gymnastics,Galen Center,Exposition Park,GRY03,7/28/2028,14,Preliminary,Group All-Around Qualification,13:00,15:45
Rhythmic Gymnastics,Galen Center,Exposition Park,GRY04,7/28/2028,14,Final,Individual All-Around Final,18:00,20:45
Rhythmic Gymnastics,Galen Center,Exposition Park,GRY05,7/29/2028,15,Final,Group All-Around Final,13:00,14:45
Rowing,Marine Stadium,Long Beach,ROW01,7/15/2028,1,Preliminary,Women's Single Sculls Heats | Men's Double Sculls Heats | Men's Pair Heats,12:00,13:50
Rowing,Marine Stadium,Long Beach,ROW02,7/16/2028,2,Preliminary,Men's Single Sculls Heats | Women's Double Sculls Heats | Women's Pair Heats | Men's Double Sculls Semifinal | Men's Pair Semifinal,12:00,14:30
Rowing,Marine Stadium,Long Beach,ROW03,7/17/2028,3,Final,Women's Single Sculls Quarterfinal | Women's Double Sculls Semifinal | Women's Pair Semifinal | Men's Double Sculls Final C | Men's Pair Final C | Men's Double Sculls Final B | Men's Pair Final B | Men's Double Sculls Final A | Men's Pair Final A,12:30,15:10
Rowing,Marine Stadium,Long Beach,ROW04,7/18/2028,4,Final,Men's Quadruple Sculls Heats | Men's Four Heats | Men's Single Sculls Quarterfinal | Women's Double Sculls Final C | Women's Pair Final C | Women's Double Sculls Final B | Women's Pair Final B | Women's Double Sculls Final A | Women's Pair Final A,13:30,16:00
Rowing,Marine Stadium,Long Beach,ROW05,7/19/2028,5,Final,Women's Quadruple Sculls Heats | Women's Four Heats | Women's Single Sculls Semifinal | Women's Single Sculls Final E | Women's Single Sculls Final F | Men's Quadruple Sculls Final B | Men's Four Final B | Men's Quadruple Sculls Final A | Men's Four Final A,8:00,10:10
Rowing,Marine Stadium,Long Beach,ROW06,7/20/2028,6,Final,Men's Eight Heats | Men's Single Sculls Semifinal | Men's Single Sculls Final E | Men's Single Sculls Final F | Women's Quadruple Sculls Final B | Women's Four Final B | Women's Quadruple Sculls Final A | Women's Four Final A,9:00,11:00
Rowing,Marine Stadium,Long Beach,ROW07,7/21/2028,7,Final,Women's Eight Heats | Women's Single Sculls Final D | Women's Single Sculls Final C | Women's Single Sculls Final B | Men's Eight Final B | Women's Single Sculls Final A | Men's Eight Final A,10:00,11:30
Rowing,Marine Stadium,Long Beach,ROW08,7/22/2028,8,Final,Men's Single Sculls Final D | Men's Single Sculls Final C | Men's Single Sculls Final B | Women's Eight Final B | Men's Single Sculls Final A | Women's Eight Final A,10:30,11:50
Rowing Coastal Beach Sprints,Belmont Shore,Long Beach,RCB01,7/24/2028,10,Preliminary,Women's Solo Time Trial 1 | Men's Solo Time Trial 1 | Women's Solo Time Trial 2 | Men's Solo Time Trial 2 | Women's Solo Last 16 | Men's Solo Last 16,8:30,12:15
Rowing Coastal Beach Sprints,Belmont Shore,Long Beach,RCB02,7/24/2028,10,Final,Women's Solo Final 8 | Men's Solo Final 8,14:30,16:50
Rowing Coastal Beach Sprints,Belmont Shore,Long Beach,RCB03,7/25/2028,11,Preliminary,Mixed Double Sculls Time Trial 1 | Mixed Double Sculls Time Trial 2 | Mixed Double Sculls Last 16,10:00,11:50
Rowing Coastal Beach Sprints,Belmont Shore,Long Beach,RCB04,7/25/2028,11,Final,Mixed Double Sculls Final 8,14:00,15:20
Rugby Sevens,Carson Stadium,Carson,RU701,7/12/2028,-2,Preliminary,Women's Pool Play (6 Matches),10:00,13:00
Rugby Sevens,Carson Stadium,Carson,RU702,7/12/2028,-2,Preliminary,Women's Pool Play (6 Matches),16:00,19:00
Rugby Sevens,Carson Stadium,Carson,RU703,7/13/2028,-1,Preliminary,Women's Pool Play (6 Matches),10:00,13:00
Rugby Sevens,Carson Stadium,Carson,RU704,7/13/2028,-1,Quarterfinal,Women's Classification 9-12 (2 Matches) | Women's Quarterfinal (4 Matches),16:00,19:00
Rugby Sevens,Carson Stadium,Carson,RU705,7/15/2028,1,Semifinal,Women's Classification 5-8 | Women's Placing 11-12 | Women's Placing 9-10 | Women's Semifinal (2 Matches),13:00,16:00
Rugby Sevens,Carson Stadium,Carson,RU706,7/15/2028,1,Final,Women's Placing 7-8 | Women's Placing 5-6 | Women's Bronze Medal Match | Women's Gold Medal Match,19:00,21:30
Rugby Sevens,Carson Stadium,Carson,RU707,7/16/2028,2,Preliminary,Men's Pool Play (6 Matches),10:00,13:00
Rugby Sevens,Carson Stadium,Carson,RU708,7/16/2028,2,Preliminary,Men's Pool Play (6 Matches),16:00,19:00
Rugby Sevens,Carson Stadium,Carson,RU709,7/17/2028,3,Preliminary,Men's Pool Play (6 Matches),10:00,13:00
Rugby Sevens,Carson Stadium,Carson,RU710,7/17/2028,3,Quarterfinal,Men's Classification 9-12 (2 Matches) | Men's Quarterfinal (4 Matches),16:00,19:00
Rugby Sevens,Carson Stadium,Carson,RU711,7/18/2028,4,Semifinal,Men's Classification 5-8 | Men's Placing 11-12 | Men's Placing 9-10 | Men's Semifinal (2 Matches),13:00,16:00
Rugby Sevens,Carson Stadium,Carson,RU712,7/18/2028,4,Final,Men's Placing 7-8 | Men's Placing 5-6 | Men's Bronze Medal Match | Men's Gold Medal Match,19:00,21:30
Sailing (Windsurfing & Kite),Belmont Shore,Long Beach,SAL01,7/16/2028,2,Preliminary,Men's Kite Qualification Series - Day 1 | Women's Kite Qualification Series - Day 1,14:00,20:00
Sailing (Windsurfing & Kite),Belmont Shore,Long Beach,SAL02,7/17/2028,3,Preliminary,Men's Windsurfing Qualification Series - Day 1 | Women's Windsurfing Qualification Series - Day 1 | Men's Kite Qualification Series - Day 2 | Women's Kite Qualification Series - Day 2,14:00,20:00
Sailing (Windsurfing & Kite),Belmont Shore,Long Beach,SAL03,7/18/2028,4,Preliminary,Men's Windsurfing Qualification Series - Day 2 | Women's Windsurfing Qualification Series - Day 2 | Men's Kite Qualification Series - Day 3 | Women's Kite Qualification Series - Day 3,14:00,20:00
Sailing (Windsurfing & Kite),Belmont Shore,Long Beach,SAL04,7/19/2028,5,Final,Men's Windsurfing Qualification Series - Day 3 | Women's Windsurfing Qualification Series - Day 3 | Men's Kite Finals | Women's Kite Finals,14:00,20:00
Sailing (Windsurfing & Kite),Belmont Shore,Long Beach,SAL05,7/20/2028,6,Final,Men's Windsurfing Finals | Women's Windsurfing Finals,14:00,17:00
"Sailing (Dinghy, Skiff & | Multihull)",Port of Los Angeles,Port of Los Angeles,SAL06,7/23/2028,9,Preliminary,Men's Dinghy Qualification Series - Day 1 | Women's Dinghy Qualification Series - Day 1,14:00,20:00
"Sailing (Dinghy, Skiff & | Multihull)",Port of Los Angeles,Port of Los Angeles,SAL07,7/24/2028,10,Preliminary,Men's Dinghy Qualification Series - Day 2 | Women's Dinghy Qualification Series - Day 2 | Mixed Dinghy Qualification Series - Day 1 | Mixed Multihull Qualification Series - Day 1,14:00,20:00
"Sailing (Dinghy, Skiff & | Multihull)",Port of Los Angeles,Port of Los Angeles,SAL08,7/25/2028,11,Preliminary,Men's Dinghy Qualification Series - Day 3 | Women's Dinghy Qualification Series - Day 3 | Men's Skiff Qualification Series - Day 1 | Women's Skiff Qualification Series - Day 1 | Mixed Dinghy Qualification Series - Day 2 | Mixed Multihull Qualification Series - Day 2,14:00,20:00
"Sailing (Dinghy, Skiff & | Multihull)",Port of Los Angeles,Port of Los Angeles,SAL09,7/26/2028,12,Final,Men's Dinghy Finals | Women's Dinghy Finals | Men's Skiff Qualification Series - Day 2 | Women's Skiff Qualification Series - Day 2 | Mixed Dinghy Qualification Series - Day 3 | Mixed Multihull Qualification Series - Day 3,14:00,20:00
"Sailing (Dinghy, Skiff & | Multihull)",Port of Los Angeles,Port of Los Angeles,SAL10,7/27/2028,13,Final,Men's Skiff Qualification Series - Day 3 | Women's Skiff Qualification Series - Day 3 | Mixed Dinghy Finals | Mixed Multihull Finals,14:00,20:00
"Sailing (Dinghy, Skiff & | Multihull)",Port of Los Angeles,Port of Los Angeles,SAL11,7/28/2028,14,Final,Men's Skiff Finals | Women's Skiff Finals,14:00,17:00
Shooting (Rifle & Pistol),Long Beach Target Shooting Hall,Long Beach,SHO01,7/15/2028,1,Final,Women's 10m Air Rifle Qualification | Men's 10m Air Rifle Qualification | Women's 10m Air Rifle Final | Men's 10m Air Rifle Final,13:45,21:00
Shooting (Rifle & Pistol),Long Beach Target Shooting Hall,Long Beach,SHO02,7/16/2028,2,Final,Men's 10m Air Pistol Qualification | Women's 10m Air Pistol Qualification | Men's 10m Air Pistol Final | Women's 10m Air Pistol Final,13:45,21:00
Shooting (Rifle & Pistol),Long Beach Target Shooting Hall,Long Beach,SHO04,7/17/2028,3,Final,Mixed Team 10m Air Rifle Qualification | Mixed Team 10m Air Pistol Qualification | Mixed Team 10m Air Rifle Final | Mixed Team 10m Air Pistol Final,15:00,21:00
Shooting (Rifle & Pistol),Long Beach Target Shooting Hall,Long Beach,SHO06,7/19/2028,5,Final,Men's 50m Rifle 3 Positions Qualification | Men's 50m Rifle 3 Positions Final,9:30,14:00
Shooting (Rifle & Pistol),Long Beach Target Shooting Hall,Long Beach,SHO07,7/20/2028,6,Final,Women's 50m Rifle 3 Positions Qualification | Women's 50m Rifle 3 Positions Final,9:30,14:00
Shooting (Rifle & Pistol),Long Beach Target Shooting Hall,Long Beach,SHO09,7/22/2028,8,Preliminary,Men's 25m Rapid Fire Pistol Stage 1 | Women's 25m Pistol Qualification Precision Stage,9:30,17:30
Shooting (Rifle & Pistol),Long Beach Target Shooting Hall,Long Beach,SHO11,7/23/2028,9,Final,Men's 25m Rapid Fire Pistol Stage 2 | Women's 25m Pistol Qualification Rapid Fire Stage | Men's 25m Rapid Fire Pistol Final | Women's 25m Pistol Final,9:30,21:00
Shooting (Shotgun),Whittier Narrows Clay Shooting Center,Whittier Narrows,SHO03,7/17/2028,3,Preliminary,Men's Skeet Qualification - Day 1 | Women's Skeet Qualification - Day 1,9:30,14:30
Shooting (Shotgun),Whittier Narrows Clay Shooting Center,Whittier Narrows,SHO05,7/18/2028,4,Final,Women's Skeet Qualification - Day 2 | Men's Skeet Qualification - Day 2 | Women's Skeet Final | Men's Skeet Final,9:30,17:15
Shooting (Shotgun),Whittier Narrows Clay Shooting Center,Whittier Narrows,SHO08,7/21/2028,7,Preliminary,Women's Trap Qualification - Day 1 | Men's Trap Qualification - Day 1,9:30,14:30
Shooting (Shotgun),Whittier Narrows Clay Shooting Center,Whittier Narrows,SHO10,7/22/2028,8,Final,Women's Trap Qualification - Day 2 | Men's Trap Qualification - Day 2 | Women's Trap Final | Men's Trap Final,9:30,17:15
Shooting (Shotgun),Whittier Narrows Clay Shooting Center,Whittier Narrows,SHO12,7/24/2028,10,Final,Mixed Team Trap Qualification | Mixed Team Trap Final,9:30,16:45
Skateboarding (Street),Valley Complex 1,Valley,SKB01,7/18/2028,4,Preliminary,Women's Street Preliminary,17:00,20:10
Skateboarding (Street),Valley Complex 1,Valley,SKB02,7/19/2028,5,Preliminary,Men's Street Preliminary,10:30,13:40
Skateboarding (Street),Valley Complex 1,Valley,SKB03,7/19/2028,5,Final,Women's Street Final,20:30,22:00
Skateboarding (Street),Valley Complex 1,Valley,SKB04,7/20/2028,6,Final,Men's Street Final,20:30,22:00
Skateboarding (Park),Valley Complex 2,Valley,SKB05,7/25/2028,11,Preliminary,Men's Park Preliminary,10:30,13:30
Skateboarding (Park),Valley Complex 2,Valley,SKB06,7/25/2028,11,Preliminary,Women's Park Preliminary,20:00,23:00
Skateboarding (Park),Valley Complex 2,Valley,SKB07,7/26/2028,12,Final,Men's Park Final,20:00,21:15
Skateboarding (Park),Valley Complex 2,Valley,SKB08,7/27/2028,13,Final,Women's Park Final,20:00,21:15
